"ACCURACY";"CHECKED";"CODE";"COORDINATES";"CREATEDAT";"DATE";"DESCRIPTION";"EMPTY";"NUMBER";"PHOTOS";"ROI";"TEMPERATURE";"TYPE";"UPDATEDAT";"WIND";"_ID";"__V"
"3.9000000953674316";"";"1";"9.0676501";"Sat Apr 17 13:55:57 CEST 2021";"Sat Apr 17 13:55:57 CEST 2021";"WGS 84";"false";"";"uploads/99475b99-0bc8-4ebf-830b-22de6ac785d9.jpeg";"000000000000000000000001";"13.7";"Point";"Sat Apr 17 13:55:57 CEST 2021";"3.1";"607acccdb31b0a267849e3c4";"0"
"3.9860000610351562";"";"1";"9.0684135";"Sat Apr 17 13:57:53 CEST 2021";"Sat Apr 17 13:57:53 CEST 2021";"WGS 84";"false";"";"uploads/5e6b7366-22f7-4eb6-965b-186743319222.jpeg";"000000000000000000000001";"13.8";"Point";"Sat Apr 17 13:57:53 CEST 2021";"3.1";"607acd41b31b0a267849e3c5";"0"
"6.094059688001753";"";"1";"8.591262790395458";"Sun Apr 25 09:26:27 CEST 2021";"Sun Apr 25 09:26:27 CEST 2021";"WGS 84";"";"";"uploads/146eaf12-4f6d-44c3-808d-ac7af5f12e00.jpeg";"000000000000000000000002";"15.2";"Point";"Sun Apr 25 09:26:27 CEST 2021";"0.9";"608519a3b31b0a267849e3c9";"0"
"0.0";"";"1";"8.54084";"Tue Apr 27 10:43:47 CEST 2021";"Tue Jun 30 09:03:00 CEST 2020";"WGS 84";"false";"";"";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 08:16:02 CEST 2021";"0.0";"6087cec3b575cc3a3ea051fe";"0"
"0.0";"";"1";"8.56795";"Tue Apr 27 13:53:54 CEST 2021";"Thu Jun 25 08:10:00 CEST 2020";"WGS 84";"false";"";"";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 08:17:31 CEST 2021";"0.0";"6087fb52b575cc3a3ea0533e";"0"
"0.0";"";"1";"8.56091";"Tue Apr 27 13:57:19 CEST 2021";"Thu Jun 25 07:50:00 CEST 2020";"WGS 84";"false";"";"";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 08:16:59 CEST 2021";"0.0";"6087fc1fb575cc3a3ea05340";"0"
"0.0";"";"1";"8.558398";"Tue Apr 27 14:02:17 CEST 2021";"Tue Jun 30 07:48:00 CEST 2020";"WGS 84";"false";"";"";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 08:16:33 CEST 2021";"0.0";"6087fd49b575cc3a3ea05343";"0"
"0.0";"";"1";"8.56501";"Tue Apr 27 14:17:35 CEST 2021";"Thu Jun 25 08:28:00 CEST 2020";"WGS 84";"false";"";"";"";"0.0";"Point";"Tue Apr 27 14:17:35 CEST 2021";"0.0";"608800dfb575cc3a3ea05346";"0"
"0.0";"";"1";"8.573197";"Tue Apr 27 14:21:23 CEST 2021";"Tue Jun 30 10:32:00 CEST 2020";"WGS 84";"false";"";"";"";"0.0";"Point";"Tue Apr 27 14:21:23 CEST 2021";"2.0";"608801c3b575cc3a3ea05348";"0"
"0.0";"";"1";"8.486108";"Tue Apr 27 14:24:29 CEST 2021";"Tue Jun 30 09:41:00 CEST 2020";"WGS 84";"false";"";"";"";"0.0";"Point";"Tue Apr 27 14:24:29 CEST 2021";"3.0";"6088027db575cc3a3ea0534a";"0"
"0.0";"";"1";"8.546661";"Wed Apr 28 20:33:26 CEST 2021";"Tue Apr 27 15:30:00 CEST 2021";"WGS 84";"false";"";"uploads/191a6828-b201-47f5-b148-dff67f5a9462.jpeg";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 13:01:34 CEST 2021";"0.0";"6089aa76b575cc3a3ea064d5";"0"
"79.05000305175781";"";"1";"9.3881043";"Thu May 06 08:38:16 CEST 2021";"Thu May 06 08:38:16 CEST 2021";"WGS 84";"";"";"uploads/5ff89f96-4d71-47f2-aae6-add63b2f67ef.jpeg";"000000000000000000000001";"11.7";"Point";"Thu May 06 08:38:16 CEST 2021";"0.9";"60938ed8b31b0a267849e3df";"0"
"11.859000205993652";"";"1";"9.3880825";"Thu May 06 08:39:10 CEST 2021";"Thu May 06 08:39:10 CEST 2021";"WGS 84";"";"";"uploads/904e42eb-30f9-4711-b93a-717f29b2fc73.jpeg";"000000000000000000000001";"11.7";"Point";"Thu May 06 08:39:10 CEST 2021";"0.9";"60938f0eb31b0a267849e3e0";"0"
"8.001208273680877";"";"1";"9.3880137101904";"Thu May 06 08:41:54 CEST 2021";"Thu May 06 08:41:54 CEST 2021";"WGS 84";"";"";"uploads/99c1e277-ef47-49e5-a167-3133f6661bb0.jpeg";"000000000000000000000001";"11.7";"Point";"Thu May 06 08:41:54 CEST 2021";"0.9";"60938fb2b31b0a267849e3e1";"0"
"16.079999923706055";"";"1";"9.38808587";"Thu May 06 08:45:51 CEST 2021";"Thu May 06 08:45:51 CEST 2021";"WGS 84";"";"";"uploads/12bd4160-740e-41e6-8d24-1377b2ba7ab9.jpeg";"000000000000000000000001";"12.1";"Point";"Thu May 06 08:45:51 CEST 2021";"0.5";"6093909fb31b0a267849e3e2";"0"
"19.496000289916992";"";"1";"9.3880342";"Thu May 06 08:48:34 CEST 2021";"Thu May 06 08:48:34 CEST 2021";"WGS 84";"";"";"uploads/4df3101a-5e22-4c0b-9d21-c9b085e66996.jpeg";"000000000000000000000001";"12.3";"Point";"Thu May 06 08:48:34 CEST 2021";"0.5";"60939142b31b0a267849e3e3";"0"
"49.433998107910156";"";"1";"9.38915009";"Thu May 06 08:51:30 CEST 2021";"Thu May 06 08:51:30 CEST 2021";"WGS 84";"false";"";"uploads/05a121dc-9255-4b21-a62f-4d44cd58d17d.jpeg";"000000000000000000000001";"12.1";"Point";"Thu May 06 08:51:30 CEST 2021";"0.5";"609391f2b31b0a267849e3e4";"0"
"95.22799682617188";"";"1";"9.38817354";"Thu May 06 10:17:05 CEST 2021";"Thu May 06 10:17:05 CEST 2021";"WGS 84";"";"";"uploads/60d980be-022f-46b4-9e0e-696ff863026b.jpeg";"000000000000000000000001";"12.9";"Point";"Thu May 06 10:17:05 CEST 2021";"1.5";"6093a601b31b0a267849e3e5";"0"
"79.3010025024414";"";"1";"9.3877332";"Thu May 06 10:17:43 CEST 2021";"Thu May 06 10:17:43 CEST 2021";"WGS 84";"";"";"uploads/d05fee43-01c5-49d2-ba89-0213923551d5.jpeg";"000000000000000000000001";"12.9";"Point";"Thu May 06 10:17:43 CEST 2021";"1.5";"6093a627b31b0a267849e3e6";"0"
"3.2160000801086426";"";"1";"9.38806604";"Thu May 06 10:21:01 CEST 2021";"Thu May 06 10:21:01 CEST 2021";"WGS 84";"false";"";"uploads/bc730779-a964-4a4c-9a1e-b34dc3ecce72.jpeg";"000000000000000000000001";"12.9";"Point";"Thu May 06 10:21:01 CEST 2021";"1.5";"6093a6edb31b0a267849e3e7";"0"
"44.779998779296875";"";"1";"9.3885797";"Thu May 06 10:21:34 CEST 2021";"Thu May 06 10:21:34 CEST 2021";"WGS 84";"";"";"uploads/fd64510d-1dd3-4d5e-a758-c3e833c92048.jpeg";"000000000000000000000001";"12.9";"Point";"Thu May 06 10:21:34 CEST 2021";"1.5";"6093a70eb31b0a267849e3e8";"0"
"3.2160000801086426";"";"1";"9.38755724";"Thu May 06 10:23:31 CEST 2021";"Thu May 06 10:23:31 CEST 2021";"WGS 84";"false";"";"uploads/ae2c18f0-137c-4102-a9d4-d10a60367219.jpeg";"000000000000000000000001";"12.5";"Point";"Thu May 06 10:23:31 CEST 2021";"1.5";"6093a783b31b0a267849e3e9";"0"
"3.2160000801086426";"";"1";"9.38744618";"Thu May 06 10:26:24 CEST 2021";"Thu May 06 10:26:24 CEST 2021";"WGS 84";"false";"";"uploads/6ad8e9c5-e329-45e7-bcc2-41ef1beb6e11.jpeg";"000000000000000000000001";"12.5";"Point";"Thu May 06 10:26:24 CEST 2021";"1.5";"6093a830b31b0a267849e3ea";"0"
"4.288000106811523";"";"1";"9.38801258";"Thu May 06 10:26:40 CEST 2021";"Thu May 06 10:26:40 CEST 2021";"WGS 84";"";"";"uploads/b79e5843-4b99-44bb-9379-40fab5c54c94.jpeg";"000000000000000000000001";"12.5";"Point";"Thu May 06 10:26:40 CEST 2021";"1.5";"6093a840b31b0a267849e3eb";"0"
"3.2160000801086426";"";"1";"9.38807001";"Thu May 06 10:32:05 CEST 2021";"Thu May 06 10:32:05 CEST 2021";"WGS 84";"";"";"uploads/35fa9a15-eeda-4596-bc8e-2f352e9ba6ae.jpeg";"000000000000000000000001";"12.5";"Point";"Thu May 06 10:32:05 CEST 2021";"1.5";"6093a985b31b0a267849e3ec";"0"
"0.0";"";"1";"9.187467098236086";"Thu May 06 13:49:40 CEST 2021";"Thu May 06 13:49:40 CEST 2021";"WGS 84";"false";"";"uploads/40b46fcc-33fd-4714-9a0e-4f130aa20804.jpeg";"000000000000000000000001";"15.9";"Point";"Thu May 06 13:49:40 CEST 2021";"5.1";"6093d7d4b31b0a267849e3ed";"0"
"10.46582745933642";"";"1";"9.078350451177839";"Thu May 06 16:04:02 CEST 2021";"Thu May 06 16:04:02 CEST 2021";"WGS 84";"";"";"uploads/69a1adaa-071e-450c-9faf-ec00f3764755.jpeg";"000000000000000000000001";"17.0";"Point";"Thu May 06 16:04:02 CEST 2021";"2.2";"6093f752b31b0a267849e3ee";"0"
"0.0";"";"1";"9.101030230522158";"Thu May 06 16:36:00 CEST 2021";"Thu May 06 16:36:00 CEST 2021";"WGS 84";"false";"";"uploads/722e215b-e968-4ec6-858b-24dc1a0f602f.jpeg";"000000000000000000000001";"20.0";"Point";"Thu May 06 16:36:00 CEST 2021";"1.4";"6093fed0b31b0a267849e3ef";"0"
"8.001208273680877";"true";"1";"9.080106947243614";"Sun May 09 18:23:01 CEST 2021";"Sun May 09 18:23:01 CEST 2021";"WGS 84";"false";"5";"uploads/b3d764a3-5d55-4e84-85e8-343dfffe66ea.jpeg";"000000000000000000000001";"20.5";"Point";"Sun May 09 18:23:01 CEST 2021";"1.3";"60980c65b31b0a267849e3f6";"0"
"0.0";"";"1";"9.101572036743166";"Sun May 09 18:28:21 CEST 2021";"Sun May 09 18:28:21 CEST 2021";"WGS 84";"";"";"uploads/55907e1e-7bd9-41af-bc3e-8e0a4e4ccb8a.jpeg";"000000000000000000000001";"20.3";"Point";"Sun May 09 18:28:21 CEST 2021";"1.3";"60980da5b31b0a267849e3f7";"0"
"8.001208273680877";"";"1";"9.080106947243614";"Sun May 09 18:32:25 CEST 2021";"Sun May 09 18:32:25 CEST 2021";"WGS 84";"false";"";"uploads/f274b0fe-9190-40a5-8706-eab0852e2f68.jpeg";"000000000000000000000001";"20.3";"Point";"Sun May 09 18:32:25 CEST 2021";"1.3";"60980e99b31b0a267849e3f8";"0"
"5.703000068664551";"";"1";"9.0725949";"Sun May 09 20:06:53 CEST 2021";"Sun May 09 20:06:53 CEST 2021";"WGS 84";"false";"";"uploads/16d8cecd-9fc1-4fce-a9d2-3d7dd303ad63.jpeg";"000000000000000000000001";"19.8";"Point";"Sun May 09 20:06:53 CEST 2021";"0.5";"609824bdb31b0a267849e3f9";"0"
"5.300000190734863";"true";"1";"9.06363";"Mon May 10 15:10:35 CEST 2021";"Mon May 10 15:10:35 CEST 2021";"WGS 84";"false";"10";"uploads/fc182148-1e25-4bc0-bfbd-d8f1479eab84.jpeg";"000000000000000000000001";"19.8";"Point";"Mon May 10 15:10:35 CEST 2021";"2.7";"609930cbb31b0a267849e3fb";"0"
"0.0";"";"1";"9.06995201163227";"Tue May 11 20:11:38 CEST 2021";"Tue May 11 20:11:00 CEST 2021";"WGS 84";"false";"";"";"000000000000000000000001";"0.0";"Point";"Tue May 11 20:11:38 CEST 2021";"0.0";"609ac8daa00f21327d0accaa";"0"
"0.0";"";"1";"8.547325559264145";"Thu May 13 07:53:40 CEST 2021";"Thu May 13 07:53:40 CEST 2021";"WGS 84";"false";"";"uploads/9c453742-3201-440a-a058-81752271d275.jpeg";"000000000000000000000002";"9.4";"Point";"Thu May 13 07:53:40 CEST 2021";"2.7";"609cbee4b31b0a267849e3ff";"0"
"98.4000015258789";"";"1";"9.38979249";"Sat May 15 15:45:36 CEST 2021";"Sat May 15 15:45:36 CEST 2021";"WGS 84";"false";"";"uploads/cbe96ddc-38bb-428f-8757-65cfc3dc7dbf.jpeg";"000000000000000000000001";"15.5";"Point";"Sat May 15 15:45:36 CEST 2021";"1.3";"609fd080b31b0a267849e405";"0"
"13.652999877929688";"";"1";"9.38970399";"Sat May 15 16:01:05 CEST 2021";"Sat May 15 16:01:05 CEST 2021";"WGS 84";"false";"";"uploads/ca68d39d-99f9-4ddc-beaa-f9ac3d10c2a4.jpeg";"000000000000000000000001";"15.6";"Point";"Sat May 15 16:01:05 CEST 2021";"2.2";"609fd421b31b0a267849e406";"0"
"2099.9990234375";"";"1";"9.3899267";"Sat May 15 16:08:32 CEST 2021";"Sat May 15 16:08:32 CEST 2021";"WGS 84";"false";"";"uploads/853d7129-3855-4523-b89c-2e9589c7d3d4.jpeg";"000000000000000000000001";"15.7";"Point";"Sat May 15 16:08:32 CEST 2021";"1.9";"609fd5e0b31b0a267849e407";"0"
"8.001208273680877";"";"1";"9.389837989716224";"Sat May 15 17:27:38 CEST 2021";"Sat May 15 17:27:38 CEST 2021";"WGS 84";"false";"";"uploads/c0d9bc3e-142f-475a-8933-b3195a471e66.jpeg";"000000000000000000000001";"15.9";"Point";"Sat May 15 17:27:38 CEST 2021";"1.8";"609fe86ab31b0a267849e408";"0"
"0.0";"";"1";"8.537857532501222";"Sun May 16 08:15:40 CEST 2021";"Sun May 16 08:15:40 CEST 2021";"WGS 84";"";"";"uploads/ee79ac83-fe55-44d7-8e60-bd31ab6d5e1f.jpeg";"000000000000000000000002";"12.6";"Point";"Sun May 16 08:15:40 CEST 2021";"1.5";"60a0b88cb31b0a267849e409";"0"
"0.0";"";"1";"8.599032011310582";"Sun May 16 10:23:29 CEST 2021";"Sun May 16 10:23:29 CEST 2021";"WGS 84";"false";"";"uploads/7111332d-08db-43d6-b3ad-949b86ef3084.jpeg";"000000000000000000000002";"16.7";"Point";"Sun May 16 10:23:29 CEST 2021";"0.9";"60a0d681b31b0a267849e40a";"0"
"165.0";"";"1";"8.540757844664377";"Mon May 17 07:43:49 CEST 2021";"Mon May 17 07:43:49 CEST 2021";"WGS 84";"";"";"uploads/2aef34a1-81a7-4d0e-ae88-c6979bc03b36.jpeg";"000000000000000000000002";"10.8";"Point";"Mon May 17 07:43:49 CEST 2021";"2.2";"60a20295b31b0a267849e40b";"0"
"4.083000183105469";"";"1";"9.2707924";"Mon May 17 09:24:01 CEST 2021";"Mon May 17 09:24:01 CEST 2021";"WGS 84";"false";"";"uploads/80e588a1-c2ce-40fe-a88b-8f87be20de75.jpeg";"000000000000000000000001";"14.2";"Point";"Mon May 17 09:24:01 CEST 2021";"0.9";"60a21a11b31b0a267849e40c";"0"
"3.7899999618530273";"";"1";"8.5436308";"Mon May 17 14:29:47 CEST 2021";"Mon May 17 14:29:47 CEST 2021";"WGS 84";"";"";"uploads/e7dc80d9-a350-449b-80f1-931374ac109e.jpeg";"000000000000000000000002";"21.5";"Point";"Mon May 17 14:29:47 CEST 2021";"2.7";"60a261bbb31b0a267849e40d";"0"
"1.600000023841858";"";"1";"8.540863333333334";"Mon May 17 15:08:28 CEST 2021";"Mon May 17 15:08:28 CEST 2021";"WGS 84";"";"";"uploads/218b8040-72fc-4e11-87ee-40c1b5dc5203.jpeg";"000000000000000000000002";"21.7";"Point";"Mon May 17 15:08:28 CEST 2021";"2.7";"60a26accb31b0a267849e40e";"0"
"0.0";"";"1";"8.533287048339846";"Mon May 17 15:28:02 CEST 2021";"Mon May 17 15:28:02 CEST 2021";"WGS 84";"";"";"uploads/c9b0c104-85df-4891-bed4-5d793e8be449.jpeg";"000000000000000000000002";"21.9";"Point";"Mon May 17 15:28:02 CEST 2021";"4.0";"60a26f62b31b0a267849e40f";"0"
"1.7999999523162842";"";"1";"8.537876666666667";"Mon May 17 15:30:20 CEST 2021";"Mon May 17 15:30:20 CEST 2021";"WGS 84";"";"";"uploads/d305992a-244f-4a27-b076-4d0c625ec1bd.jpeg";"000000000000000000000002";"21.9";"Point";"Mon May 17 15:30:20 CEST 2021";"4.0";"60a26fecb31b0a267849e410";"0"
"0.0";"";"1";"8.542256355285646";"Mon May 17 15:43:46 CEST 2021";"Mon May 17 15:43:46 CEST 2021";"WGS 84";"";"";"uploads/3367a892-0ff8-4d63-97b5-c932a1b8aa51.jpeg";"000000000000000000000002";"21.7";"Point";"Mon May 17 15:43:46 CEST 2021";"6.3";"60a27312b31b0a267849e411";"0"
"7.199999809265137";"";"1";"8.548341666666666";"Mon May 17 15:43:51 CEST 2021";"Mon May 17 15:43:51 CEST 2021";"WGS 84";"";"";"uploads/2664ef19-2823-4867-b450-0a7549cee3e7.jpeg";"000000000000000000000002";"21.8";"Point";"Mon May 17 15:43:51 CEST 2021";"0.9";"60a27317b31b0a267849e412";"0"
"1.399999976158142";"";"1";"8.554081666666667";"Mon May 17 16:00:35 CEST 2021";"Mon May 17 16:00:35 CEST 2021";"WGS 84";"";"";"uploads/5b92baf0-fb3a-4977-82cc-4c3edab54831.jpeg";"000000000000000000000002";"21.7";"Point";"Mon May 17 16:00:35 CEST 2021";"0.9";"60a27703b31b0a267849e413";"0"
"2.299999952316284";"";"1";"8.566633333333334";"Mon May 17 16:18:46 CEST 2021";"Mon May 17 16:18:46 CEST 2021";"WGS 84";"";"";"uploads/39e4df56-26fd-4b52-bf93-7b573f352e49.jpeg";"000000000000000000000002";"21.7";"Point";"Mon May 17 16:18:46 CEST 2021";"2.2";"60a27b46b31b0a267849e414";"0"
"2.0";"";"1";"8.566609999999999";"Mon May 17 16:20:11 CEST 2021";"Mon May 17 16:20:11 CEST 2021";"WGS 84";"";"";"uploads/58b43cef-c76f-496f-b88b-f7ca5715dfe2.jpeg";"000000000000000000000002";"21.6";"Point";"Mon May 17 16:20:11 CEST 2021";"2.2";"60a27b9bb31b0a267849e415";"0"
"2.299999952316284";"";"1";"8.566541666666666";"Mon May 17 16:23:04 CEST 2021";"Mon May 17 16:23:04 CEST 2021";"WGS 84";"";"";"uploads/c22f7e0d-1363-4704-b642-4a324cb49db7.jpeg";"000000000000000000000002";"21.7";"Point";"Mon May 17 16:23:04 CEST 2021";"2.2";"60a27c48b31b0a267849e416";"0"
"16.62299919128418";"";"1";"9.1291146";"Mon May 17 17:36:50 CEST 2021";"Mon May 17 17:36:50 CEST 2021";"WGS 84";"";"";"uploads/29e01e14-a8f3-48a7-a75c-abf1646b6a8d.jpeg";"000000000000000000000001";"20.6";"Point";"Mon May 17 17:36:50 CEST 2021";"1.5";"60a28d92b31b0a267849e418";"0"
"14.319999694824219";"";"1";"9.1266334";"Mon May 17 20:53:38 CEST 2021";"Mon May 17 20:53:38 CEST 2021";"WGS 84";"";"";"uploads/c6c05d09-9ab6-455c-a9f6-49e506a7af93.jpeg";"000000000000000000000001";"16.2";"Point";"Mon May 17 20:53:38 CEST 2021";"2.1";"60a2bbb2b31b0a267849e419";"0"
"3.2160000801086426";"";"1";"8.54082662";"Tue May 18 07:48:10 CEST 2021";"Tue May 18 07:48:10 CEST 2021";"WGS 84";"";"";"uploads/8a8d54f5-8c8d-4063-b7bc-90bf9f2bb536.jpeg";"000000000000000000000002";"13.4";"Point";"Tue May 18 07:48:10 CEST 2021";"0.9";"60a3551ab31b0a267849e41a";"0"
"19.0";"";"1";"8.5408142";"Wed May 19 07:15:33 CEST 2021";"Wed May 19 07:15:33 CEST 2021";"WGS 84";"";"";"uploads/a94f1fec-ad4c-4a53-ab47-673e9d9e30e9.jpeg";"000000000000000000000002";"9.2";"Point";"Wed May 19 07:15:33 CEST 2021";"0.5";"60a49ef5b31b0a267849e41b";"0"
"2.799999952316284";"";"1";"8.540826666666668";"Wed May 19 15:12:37 CEST 2021";"Wed May 19 15:12:37 CEST 2021";"WGS 84";"";"";"uploads/a503aac6-4b3b-4da8-b9e3-0d15aebc1efa.jpeg";"000000000000000000000002";"21.3";"Point";"Wed May 19 15:12:37 CEST 2021";"2.7";"60a50ec5b31b0a267849e41c";"0"
"1.5";"";"1";"8.540851666666667";"Wed May 19 15:15:36 CEST 2021";"Wed May 19 15:15:36 CEST 2021";"WGS 84";"";"";"uploads/216d731b-8e18-43ff-a3ea-ba5a517fa38c.jpeg";"000000000000000000000002";"21.3";"Point";"Wed May 19 15:15:36 CEST 2021";"2.7";"60a50f78b31b0a267849e41d";"0"
